paper_id,models,link,title,year
983,DEEPMOVE;STGN;LSTPM;TISASREC;GEOSAN;STAN;CARAN,http://www.injoit.org/index.php/j1/article/download/1354/1264,CARAN: A Context-Aware Recency-Based Attention Network for Point-of-Interest Recommendation,2022
985,BPR;LSTM;GCN;GRAPHSAGE;CASER;SASREC;NACTSEER,https://people.cs.vt.edu/ramakris/papers/nactseer-cikm2019.pdf,NActSeer: Predicting User Actions in Social Network using Graph Augmented Neural Network,2019
986,TOP;FPMC;NMF;TIMESVD;HRM;DREAM;DRM,http://jcst.ict.ac.cn/fileup/1000-9000/PDF/2019-6-5-9284.pdf,Modeling Temporal Dynamics of Users’ Purchase Behaviors for Next Basket Prediction,2019
987,MF;PMF;FPMCLR;PRMEG;GPDM;PPDM,https://arxiv.org/pdf/1805.06316,Personalized Next Point-of-Interest Recommendation via Latent Behavior Patterns Inference,2018
988,BPR;NCF;FPMC;GRU4REC;CASER;NARM;SASREC;HRL;SASREC;BERT4REC;RAP,https://www.ijcai.org/proceedings/2021/0220.pdf,Pattern-enhanced Contrastive Policy Learning Network for Sequential Recommendation,2021
989,POP;BPRMF;FMC;FPMC;HRM;DREAMSHAN;LSAMN,http://www.global-optimization.com/boyuan/Mypaper/MDM-2019.pdf,Sequence-Aware Recommendation with Long-Term and Short-Term Attention Memory Networks,2019
990,GRU4REC;CASER;SASREC,https://www.mdpi.com/2076-3417/11/4/1585/pdf,Sequential Recommendations on GitHub Repository,2021
991,POP;ITEMCF;USERCF;BPR;GRU;CASER;AUGRU;CSRN,https://arxiv.org/pdf/2004.04816,CSRN: Collaborative Sequential Recommendation Networks for News Retrieval,2020
992,POP;FM;NFM;RRN;CASER;SASREC;SITAR;SRNN;TMP;TIF;TNT;TARN,https://www.researchgate.net/profile/Qi-Zhang-339/publication/350883201_Neural_Time-Aware_Sequential_Recommendation_by_Jointly_Modeling_Preference_Dynamics_and_Explicit_Feature_Couplings/links/6220790519d1945aced1529a/Neural-Time-Aware-Sequential-Recommendation-by-Jointly-Modeling-Preference-Dynamics-and-Explicit-Feature-Couplings.pdf,Neural Time-Aware Sequential Recommendation by Jointly Modeling Preference Dynamics and Explicit Feature Couplings,2021
993,POPREC;BPRMF;SASREC;BERT4REC;SSEPT,https://dl.acm.org/doi/pdf/10.1145/3459637.3482136,Locker: Locally Constrained Self-Attentive Sequential Recommendation,2021
994,ATRANK;BPRMF;CNN;CSAN;LSPM;PACA;BILSTM;SHAN;TLSAN,https://arxiv.org/pdf/2103.08971,TLSAN: Time-aware Long- and Short-term Attention Network for Next-item Recommendation,2021
995,BPR;GRU4REC;CASER;SASREC;DSSREC;BERT4REC;S3REC;CL4SREC;ICLREC,https://arxiv.org/pdf/2202.02519,Intent Contrastive Learning for Sequential Recommendation,2022
996,MOSTPOP;MM;RNN;LSTM;GRU;SPLSTM,https://ieeexplore.ieee.org/iel7/6287639/8600701/08889510.pdf,Passenger Behavior Prediction With Semantic and Multi-Pattern LSTM Model,2019
997,POP;REP;MFBPR;FPMC;SASREC;BERT4REC;LIVEREC,https://cseweb.ucsd.edu/~jmcauley/pdfs/recsys21b.pdf,Recommendation on Live-Streaming Platforms: Dynamic Availability and Repeat Consumption,2021
999,POP;POEP;DREAM;FPMC;SETS2SETS;M2P2,https://arxiv.org/pdf/2004.01646,"M 2 : Mixed Models with Preferences, Popularities and Transitions for Next-Basket Recommendation",2022
1000,GLOBALPOP;SEQPOP;FOT;GRU4REC;SASREC;HIERNN;M3R;RNNMTL;GATEDLONGREC,https://arxiv.org/pdf/2001.11369,Learning to Structure Long-term Dependence for Sequential Recommendation,2020
